#log_min_mass log_max_mass mean_conc std_conc n_halos
12.500 12.600 4.904 1.575 148482
12.600 12.700 4.810 1.531 112501
12.700 12.800 4.741 1.484 86365
12.800 12.900 4.692 1.453 64377
12.900 13.000 4.659 1.444 47646
13.000 13.100 4.628 1.426 34907
13.100 13.200 4.606 1.402 25633
13.200 13.300 4.595 1.410 18309
13.300 13.400 4.597 1.399 12840
13.400 13.500 4.600 1.397 8724
13.500 13.600 4.551 1.367 5928
13.600 13.700 4.541 1.329 3858
13.700 13.800 4.415 1.189 2274
13.800 13.900 4.130 0.995 1189
13.900 14.000 3.463 0.654 230
