#vrms_min vrms_max mean_log_mass std_log_mass n_halos
300.000 350.000 12.499 0.099 328016
350.000 400.000 12.676 0.096 182026
400.000 450.000 12.832 0.095 104572
450.000 500.000 12.971 0.094 63536
500.000 550.000 13.097 0.094 39344
550.000 600.000 13.209 0.095 24941
600.000 650.000 13.312 0.097 16325
650.000 700.000 13.409 0.097 10901
700.000 750.000 13.493 0.102 7226
750.000 800.000 13.577 0.099 4858
800.000 850.000 13.654 0.101 3225
850.000 900.000 13.726 0.103 2369
900.000 950.000 13.794 0.102 1518
950.000 1000.000 13.854 0.109 1129
