#vrms_min vrms_max mean_concentration std_concentration n_halos
300.000 350.000 5.598 2.008 326252
350.000 400.000 5.385 1.836 184496
400.000 450.000 5.249 1.769 107214
450.000 500.000 5.181 1.720 65410
500.000 550.000 5.115 1.695 41344
550.000 600.000 5.109 1.721 26397
600.000 650.000 5.088 1.697 17492
650.000 700.000 5.090 1.716 11616
700.000 750.000 5.088 1.741 7623
750.000 800.000 5.138 1.845 5419
800.000 850.000 5.135 1.845 3705
850.000 900.000 5.148 1.738 2538
900.000 950.000 5.200 1.920 1799
950.000 1000.000 5.202 1.880 1265
