#OK
#SQL= select Xoff,  Rvir from miniMDR1..BDMW
#	where snapnum = 66 and Vrms between 300 and 1000
#MAXROWS UNLIMITED
#QUERYTIMEOUT 1400 sec
#DATE 2013-02-09 04:17:56.199 CET
#QUERYTIME 1445 millisec
#COLUMN 1 name=Xoff JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 2 name=Rvir JDBC_TYPE=7 JDBC_TYPENAME=real
Xoff,Rvir
0.0409,0.3536
0.138,0.3226
0.0693,0.3149
0.0301,0.4117
0.0786,0.3162
0.0568,0.3179
0.034,0.1902
0.0479,0.3476
0.0475,0.3523
0.1439,0.2017
0.0333,0.4761
0.105,0.5284
0.0507,0.3967
0.0365,0.4675
0.1054,0.3233
0.1032,0.2149
0.0787,0.3487
0.0556,0.4314
0.0556,0.6355
0.0726,0.3384
0.1932,0.0964
0.0507,0.5291
0.0629,0.3918
0.032,0.4655
0.0209,0.3511
0.0241,0.3453
0.031,0.4415
0.027,0.5916
0.0528,0.8887
0.0885,0.3758
0.0544,0.4426
0.0579,0.3961
0.0259,0.3388
0.1113,0.3299
0.054,0.3168
0.0718,0.5296
0.0618,0.2787
0.0814,0.3984
0.0388,0.3783
0.1866,0.0512
0.0272,0.3129
0.0371,0.3746
0.1103,0.3493
0.0638,0.3808
0.035,0.4064
0.1182,0.8033
0.1227,0.5834
0.0523,0.4096
0.0808,0.349
0.0265,1.0569
0.0562,0.4065
0.0294,0.4042
0.0494,0.7564
0.072,0.3356
0.045,0.3333
0.0464,0.3705
0.0394,0.3637
0.0638,0.3089
0.0759,0.5444
0.0285,0.5358
0.0231,0.1438
0.0122,0.4652
0.089,0.5037
0.0649,0.3285
0.0986,0.378
0.1692,0.0459
0.0647,0.3052
0.0362,0.396
0.1469,0.3692
0.1498,0.2996
0.0757,0.3029
0.1195,0.2686
0.0425,0.3699
0.1158,0.3299
0.0779,0.5789
0.0588,0.9368
0.0223,0.3623
0.1241,0.4495
0.0871,0.3715
0.0741,0.3843
0.1141,0.2108
0.038,0.4353
0.0666,0.3378
0.0956,0.3179
0.0443,0.3172
0.1072,0.393
0.1096,0.3905
0.0618,0.3438
0.069,0.4288
0.0643,0.5192
0.0862,0.1494
0.12,0.5627
0.1167,0.1435
0.1172,0.2088
0.0276,0.4261
0.0644,0.067
0.0906,0.3098
0.0544,0.5972
0.0903,0.373
0.0706,0.3217
0.0473,0.3945
0.0553,0.3936
0.0675,0.3411
0.1036,0.6126
0.1142,0.3692
0.0409,0.3039
0.114,0.0426
0.1779,0.3329
0.0822,0.4705
0.0356,0.4789
0.0954,0.269
0.2338,0.4006
0.0648,0.454
0.0207,0.4275
0.0292,0.3961
0.1803,0.0696
0.0624,0.5599
0.0586,0.5347
0.064,0.3381
0.1035,0.3285
0.0942,0.3657
0.1059,0.0638
0.1184,0.5951
0.1938,0.3688
0.0404,0.5215
0.0415,0.3433
0.0322,0.4777
0.0754,0.3009
0.0397,0.3539
0.0248,0.632
0.1238,0.2312
0.0244,0.1483
0.1055,0.404
0.1592,0.3556
0.1667,0.3913
0.0324,0.416
0.0837,0.2248
0.0593,0.5224
0.1648,0.0518
0.0913,0.3911
0.042,0.2495
0.0158,0.5243
0.2042,0.3288
0.0878,0.3937
0.0599,0.4579
0.0754,0.3805
0.0443,0.418
0.0773,0.3474
0.1048,0.3773
0.0418,0.3632
0.0349,0.3604
0.0373,0.3909
0.1123,0.3076
0.0847,0.3296
0.046,0.3356
0.1068,0.3262
0.0787,0.4277
0.0602,0.3289
0.0331,0.2803
0.0223,0.5662
0.0983,0.3966
0.0708,0.1505
0.0355,0.3515
0.0321,0.4538
0.0548,0.3217
0.0441,0.3548
0.0596,0.4419
0.0469,0.6354
0.0323,0.3964
0.0234,0.2999
0.0477,0.3234
0.0273,0.5793
0.0804,0.4601
0.0236,0.3123
0.1077,0.3441
0.0475,0.3361
0.0882,0.3127
0.054,0.3658
0.0867,0.4902
0.0588,0.3124
0.0218,0.4751
0.0518,0.3813
0.159,0.0536
0.1447,0.1948
0.0799,0.7071
0.0499,0.335
0.0041,0.7083
0.0951,0.3482
0.1069,0.4557
0.1095,0.0257
0.0557,0.4178
0.1489,0.2838
0.0525,0.4185
0.0364,0.3092
0.0332,0.4081
0.0634,0.3305
0.0687,0.4285
0.1222,0.4037
0.0492,0.3791
0.0498,0.319
0.0227,0.3265
0.1299,0.4232
0.0722,0.3414
0.0551,0.3425
0.0482,0.4011
0.0922,0.3458
0.0551,0.346
0.0551,0.3265
0.0352,0.3642
0.0642,0.3206
0.0468,0.3401
0.0529,0.2322
0.5289,0.2591
0.0831,0.3375
0.0655,0.3262
0.0239,0.55
0.09,0.0883
0.0706,0.4058
0.0529,0.1752
0.0528,0.4771
0.0731,0.3726
0.03,0.5356
0.0372,0.3504
0.0563,0.3198
0.0575,0.3411
0.07,0.4427
